Study_ID,Climate,Soil_Texture,Initial_EC_dSm,Initial_pH,Crop,Cropping_System,Duration_years,Irrigation_Type,Fertilizer,Outcome,Exp_mean,Exp_sd,Exp_n,Ctrl_mean,Ctrl_sd,Ctrl_n
(Wang et al. 2022a),Semi-arid,Sandy loam,2.02,7.96,Maize,Monoculture,1,NA,Straw + NPK,Yield,27.81,4.42,3,10.17,2.34,3
(Zhai et al. 2023),Semi-arid,Loam,2.7,7.9,Maize,Monoculture,1,Subsurface drainage,Farmyard Manure,Yield,3.82,0.17,3,2.71,0.12,3
(Zhang et al. 2024a),Arid,Loam,1.68,8.25,Alfalfa,Monoculture,1,Subsurface drainage,Nitrogen,Yield,3.9,0.1,3,2,0.1,3
(Yu et al. 2024),Arid,Silty clay loam,6.23,10.5,Maize,Monoculture,25,Sprinkler,Farmyard Manure,SOC,40,4,3,10.95,1.5,3
(Dai et al. 2022),Subtropical,Loam,NA,NA,Wheat,Monoculture,1,Sprinkler,Straw + NPK,SOC,20,1.5,3,14,1.5,3
(Abulaiti et al. 2023),Arid,Silt loam,4,8,Wheat,Monoculture,4,NA,Biochar + Polymer (PAM),SOC,21.42,0.754,3,5.89,1.07,3
(Li et al. 2021a),Arid,Sandy loam,15.07,8.2,River saltbush,Monoculture,2,NA,Compost,SOC,15.6,3,3,3,0.2,3
(Bai et al. 2024),Temperate,NA,5,NA,NA,NA,NA,Drip,Biochar only,SOC,13.5,1,3,10.5,1,3
(Jiang et al. 2025a),Temperate,Clay,0.646,7.74,Rice,Monoculture,1,Flood,Control,SOC,2.43,0.13,3,1.64,0.06,3
(Guo et al. 2022b),Semi-arid,Sandy loam,0.41,9.64,NA,NA,1,NA,Straw,SOC,13.8,1.56,3,8.5,2.67,3
(Guo et al. 2022b),Semi-arid,Sandy loam,0.41,9.64,NA,NA,1,NA,Humic Acid,SOC,15.9,1.82,3,8.5,2.67,3
(Guo et al. 2022b),Semi-arid,Sandy loam,0.41,9.64,NA,NA,1,NA,Farmyard Manure,SOC,15.72,1.64,3,8.5,2.67,3
(He et al. 2022),Semi-arid,NA,NA,8.93,Alfalfa,Monoculture,3,NA,Urea + Humic Acid,SOC,11.9,2.78852,3,12.51,0.69282,3
(He et al. 2022),Semi-arid,NA,NA,8.84,Alfalfa,Monoculture,3,NA,Urea,SOC,12.67,2.82316,3,12.51,0.69282,3
(He et al. 2022),Semi-arid,NA,NA,8.78,Alfalfa,Monoculture,3,NA,Humic Acid,SOC,12.03,1.2124,3,12.51,0.69282,3
(Li et al. 2023a),Temperate,NA,3.5,8.53,Wheat,Monoculture,4,NA,Straw + NPK,SOC,10.8,0.34641,3,9.5,0.34641,3
(Liu et al. 2023a),Arid,Silt loam,1.63,8.28,NA,NA,20,NA,Control,SOC,11.47,8.18,3,4.71,0.97,3
(Huang et al. 2024a),Arid,Sandy loam,9.4,8.55,Maize,Monoculture,NA,NA,Control,SOC,1.25,0.18,3,1.07,0.05,3
(Wang et al. 2024b),Arid,Sandy loam,0.94,8.87,Cotton,Monoculture,1,Drip,Control,SOC,0.68,0.08,3,0.7,0.11,3
(Zhou et al. 2024),Arid,Silt loam,0.69,9.85,Phragmites australis,Monoculture,NA,NA,Control,SOC,1.05,0.05,6,0.54,0.06,6
(Huang et al. 2024b),Subtropical,Clay,NA,7.72,Rice,Monoculture,3,Flood,Straw,SOC,18.4,0.2,3,16.1,0.4,3
(Dou et al. 2024a),Arid,Sandy clay loam,62.3,7.5,NA,NA,3,Drip,Control,SOC,9,1.1,9,4.7,0.5,9
(Xiao et al. 2024),Semi-arid,Silt loam,393,8.17,Rice,Monoculture,1,Flood,Farmyard Manure,SOC,10.66,1.51,3,9.1,0.44,3
(Li et al. 2021b),NA,Clay,NA,8.28,Wheat,Monoculture,NA,NA,Farmyard Manure,SOC,17.64,1.67,3,3.96,0.98,3
(Sun et al. 2021),NA,NA,NA,6.84,Maize,Monoculture,2,NA,Straw + Manure,SOC,16.61,0.4,3,14.66,0.3,3
(Gu et al. 2022),NA,NA,NA,6.01,Rice,Monoculture,1,NA,Biochar + NPK,SOC,18,1,3,13.5,1,3
(Zhang et al. 2022a),Temperate,NA,1.5,6.83,NA,NA,NA,NA,Biochar Compost,SOC,20.73,0.2,3,24.17,0.3,3
(Cui et al. 2022b),Semi-arid,NA,NA,7.21,Alfalfa,Monoculture,NA,Drip,Biochar + EM,SOC,29.68,0.4,5,18.7,0.62,5
(Cui et al. 2022a),Temperate,Silt loam,1.05,6.82,NA,NA,NA,Drip,Straw,SOC,1.95,0.03,3,1.95,0.03,3
(Li et al. 2025a),Temperate,Silt loam,NA,5.45,NA,NA,NA,NA,Biochar + Straw,SOC,14.1,0.34,3,11.69,0.69,3
(Jiang et al. 2022),NA,NA,145.5,5.8,Tobacco (flue-cured),Tobacco-maize rotation,12,NA,Straw + NPK,SOC,9.3,1.5,3,7.5,0.5,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,SOC,11.3,1.22,3,9.7,1,3
(Sui et al. 2025),Semi-arid,NA,NA,8.5,E. angustifolia,Monoculture,NA,NA,Control,SOC,1.2,0.04,3,1,0.05,3
(Liu et al. 2024c),Semi-arid,Sandy loam,3.62,8.82,Maize,Monoculture,2,NA,Control,SOC,14,0.4,3,10.5,0.3,3
